user_id,history_item_title,item_title,history_item_id,item_id,history_item_sid,item_sid
A22,"['Gorilla Original Gorilla Glue, Waterproof Polyurethane Glue, 8 ounce Bottle, Brown']",Grizzly G9849 Magnetic Base/Dial Indicator Combo - President's Special,[117],118,['<a_165><b_107><c_44>'],<a_104><b_118><c_176>
A869,"['Gorilla Tape, Black Duct Tape, 1.88"" x 35 yd, Black, (Pack of 1)']","Gorilla Tape, Black Duct Tape, 1.88"" x 35 yd, Black, (Pack of 1)",[130],130,['<a_202><b_52><c_171>'],<a_202><b_52><c_171>
A869,"['Gorilla Tape, Black Duct Tape, 1.88"" x 35 yd, Black, (Pack of 1)', 'Gorilla Tape, Black Duct Tape, 1.88"" x 35 yd, Black, (Pack of 1)']","Gorilla Tape, Black Duct Tape, 1.88"" x 12 yd, Black, (Pack of 1)","[130, 130]",622,"['<a_202><b_52><c_171>', '<a_202><b_52><c_171>']",<a_202><b_52><c_44>
A387,"['Fastcap 3HANDCPACK 3rd Hand Contractor Poles, 4-Pack']",Stanley 93-301 14-Inch Yellow Panel Carry Handle,[1242],986,['<a_206><b_20><c_138>'],<a_87><b_161><c_199>
A22,"['Gorilla Original Gorilla Glue, Waterproof Polyurethane Glue, 8 ounce Bottle, Brown', ""Grizzly G9849 Magnetic Base/Dial Indicator Combo - President's Special""]","Rubbermaid Commercial BRUTE Heavy-Duty Round Waste/Utility Container with Venting Channels, 20-gallon, Gray (FG262000GRAY)","[117, 118]",119,"['<a_165><b_107><c_44>', '<a_104><b_118><c_176>']",<a_210><b_156><c_39>
A22,"['Gorilla Original Gorilla Glue, Waterproof Polyurethane Glue, 8 ounce Bottle, Brown', ""Grizzly G9849 Magnetic Base/Dial Indicator Combo - President's Special"", 'Rubbermaid Commercial BRUTE Heavy-Duty Round Waste/Utility Container with Venting Channels, 20-gallon, Gray (FG262000GRAY)']","Rubbermaid Commercial BRUTE Heavy-Duty Round Waste/Utility Container with Venting Channels, 20-gallon, Gray (FG262000GRAY)","[117, 118, 119]",119,"['<a_165><b_107><c_44>', '<a_104><b_118><c_176>', '<a_210><b_156><c_39>']",<a_210><b_156><c_39>
A22,"['Gorilla Original Gorilla Glue, Waterproof Polyurethane Glue, 8 ounce Bottle, Brown', ""Grizzly G9849 Magnetic Base/Dial Indicator Combo - President's Special"", 'Rubbermaid Commercial BRUTE Heavy-Duty Round Waste/Utility Container with Venting Channels, 20-gallon, Gray (FG262000GRAY)', 'Rubbermaid Commercial BRUTE Heavy-Duty Round Waste/Utility Container with Venting Channels, 20-gallon, Gray (FG262000GRAY)']","Rubbermaid Commercial BRUTE Heavy-Duty Round Waste/Utility Container with Venting Channels, 20-gallon, Gray (FG262000GRAY)","[117, 118, 119, 119]",119,"['<a_165><b_107><c_44>', '<a_104><b_118><c_176>', '<a_210><b_156><c_39>', '<a_210><b_156><c_39>']",<a_210><b_156><c_39>
A22,"['Gorilla Original Gorilla Glue, Waterproof Polyurethane Glue, 8 ounce Bottle, Brown', ""Grizzly G9849 Magnetic Base/Dial Indicator Combo - President's Special"", 'Rubbermaid Commercial BRUTE Heavy-Duty Round Waste/Utility Container with Venting Channels, 20-gallon, Gray (FG262000GRAY)', 'Rubbermaid Commercial BRUTE Heavy-Duty Round Waste/Utility Container with Venting Channels, 20-gallon, Gray (FG262000GRAY)', 'Rubbermaid Commercial BRUTE Heavy-Duty Round Waste/Utility Container with Venting Channels, 20-gallon, Gray (FG262000GRAY)']","Rubbermaid Commercial BRUTE Heavy-Duty Round Waste/Utility Container with Venting Channels, 20-gallon, Gray (FG262000GRAY)","[117, 118, 119, 119, 119]",119,"['<a_165><b_107><c_44>', '<a_104><b_118><c_176>', '<a_210><b_156><c_39>', '<a_210><b_156><c_39>', '<a_210><b_156><c_39>']",<a_210><b_156><c_39>
A1959,"['6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 1/4"" Diameter, 60"" Length']","6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 2-1/4"" Diameter, 12"" Length",[1154],1153,['<a_251><b_198><c_114>'],<a_251><b_198><c_140>
A1959,"['6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 1/4"" Diameter, 60"" Length', '6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 2-1/4"" Diameter, 12"" Length']","6061 Aluminum Round Rod, Unpolished (Mill) Finish, Extruded, T6511 Temper, ASTM B221, 0.5"" Diameter, 96"" Length","[1154, 1153]",1155,"['<a_251><b_198><c_114>', '<a_251><b_198><c_140>']",<a_251><b_198><c_9>
