user_id,history_item_title,item_title,history_item_id,item_id,history_item_sid,item_sid
A48,"['Advantus Panel Wall Wire Hooks, Silver, 25 Hooks per Pack (75370)']","Bullseye Office - Assorted Acrylic Push Pin Magnets - Perfect as Refrigerator Magnets, Whiteboard Magnets, Office Magnets (24, Assorted)",[283],284,['<a_81><b_226><c_226>'],<a_81><b_103><c_219>
A631,['DYMO LW Video Spine Labels White 2 Rolls 75 Labels Per Roll'],"DYMO LW Continuous Labels for LabelWriter Label Printers, White, 2-1/4x 300-Inch, 1 roll (30270)",[1025],1026,['<a_117><b_143><c_246>'],<a_117><b_153><c_77>
A799,"['Scotch Long Lasting Storage Packaging Tape, 1.88 in. x 54.6 yd, 1 Roll/Pack']","BIC Round Stic Xtra Life Ballpoint Pen, Medium Point (1.0mm), Black, 10-Count",[446],811,['<a_130><b_30><c_60>'],<a_255><b_117><c_30>
A799,"['Scotch Long Lasting Storage Packaging Tape, 1.88 in. x 54.6 yd, 1 Roll/Pack', 'BIC Round Stic Xtra Life Ballpoint Pen, Medium Point (1.0mm), Black, 10-Count']","BIC Round Stic Xtra Life Ballpoint Pen, Medium Point (1.0mm), Red, 12-Count","[446, 811]",812,"['<a_130><b_30><c_60>', '<a_255><b_117><c_30>']",<a_255><b_117><c_102>
A799,"['Scotch Long Lasting Storage Packaging Tape, 1.88 in. x 54.6 yd, 1 Roll/Pack', 'BIC Round Stic Xtra Life Ballpoint Pen, Medium Point (1.0mm), Black, 10-Count', 'BIC Round Stic Xtra Life Ballpoint Pen, Medium Point (1.0mm), Red, 12-Count']","BIC Xtra Sparkle Mechanical Pencil, Colorful Barrel, Medium Point (0.7 mm), 10-Count","[446, 811, 812]",35,"['<a_130><b_30><c_60>', '<a_255><b_117><c_30>', '<a_255><b_117><c_102>']",<a_160><b_42><c_49>
A799,"['Scotch Long Lasting Storage Packaging Tape, 1.88 in. x 54.6 yd, 1 Roll/Pack', 'BIC Round Stic Xtra Life Ballpoint Pen, Medium Point (1.0mm), Black, 10-Count', 'BIC Round Stic Xtra Life Ballpoint Pen, Medium Point (1.0mm), Red, 12-Count', 'BIC Xtra Sparkle Mechanical Pencil, Colorful Barrel, Medium Point (0.7 mm), 10-Count']","Mead Envelopes, Press-It Seal-It, 9 x 12 Inches, Office Pack, 25 Per Pack (76086)","[446, 811, 812, 35]",1560,"['<a_130><b_30><c_60>', '<a_255><b_117><c_30>', '<a_255><b_117><c_102>', '<a_160><b_42><c_49>']",<a_118><b_114><c_76>
A1106,"['BIC Round Stic Xtra Life Ballpoint Pen, Medium Point (1.0mm), Black, 10-Count']","Paper Mate Write Bros Ballpoint Pens, Medium Point (1.0mm), Red, 12 Count (3321131)",[811],1272,['<a_255><b_117><c_30>'],<a_255><b_105><c_174>
A1106,"['BIC Round Stic Xtra Life Ballpoint Pen, Medium Point (1.0mm), Black, 10-Count', 'Paper Mate Write Bros Ballpoint Pens, Medium Point (1.0mm), Red, 12 Count (3321131)']","BIC Round Stic Xtra Life Ballpoint Pen, Medium Point (1.0mm), Red, 12-Count","[811, 1272]",812,"['<a_255><b_117><c_30>', '<a_255><b_105><c_174>']",<a_255><b_117><c_102>
A1106,"['BIC Round Stic Xtra Life Ballpoint Pen, Medium Point (1.0mm), Black, 10-Count', 'Paper Mate Write Bros Ballpoint Pens, Medium Point (1.0mm), Red, 12 Count (3321131)', 'BIC Round Stic Xtra Life Ballpoint Pen, Medium Point (1.0mm), Red, 12-Count']","Avery Sliding Bar Clear Report Covers, Pack of 50 (47710)","[811, 1272, 812]",1929,"['<a_255><b_117><c_30>', '<a_255><b_105><c_174>', '<a_255><b_117><c_102>']",<a_67><b_193><c_150>
A1106,"['BIC Round Stic Xtra Life Ballpoint Pen, Medium Point (1.0mm), Black, 10-Count', 'Paper Mate Write Bros Ballpoint Pens, Medium Point (1.0mm), Red, 12 Count (3321131)', 'BIC Round Stic Xtra Life Ballpoint Pen, Medium Point (1.0mm), Red, 12-Count', 'Avery Sliding Bar Clear Report Covers, Pack of 50 (47710)']","EXPO 86074  Low-Odor Dry Erase Markers, Fine Point, Assorted Colors, 4-Count","[811, 1272, 812, 1929]",206,"['<a_255><b_117><c_30>', '<a_255><b_105><c_174>', '<a_255><b_117><c_102>', '<a_67><b_193><c_150>']",<a_178><b_37><c_247>
