name,task,model,size,epochs,abstract,chat,eval_loss,train_loss_final,train_loss_avg,lr,neg_ratio,max_history,acc@1
sft_mind_pointwise_small_Qwen3-1.7B_bs256_ep5_neg2.0_hist50_chat,pointwise,1.7B,small,5,False,True,0.6005308032035828,0.5148,0.5797704360414954,2e-05,,,
sft_mind_pointwise_small_Qwen3-1.7B_bs256_ep3_neg2.0_hist30_chat,pointwise,1.7B,small,3,False,True,0.5955813527107239,0.5358,0.6119041332427193,2e-05,,,
sft_text_Industrial_and_Scientific_qwen3-1.7B_bs1024,sft_other,1.7B,unknown,10,False,False,0.4005056321620941,0.1206,0.526822000236055,0.0003,,,
Qwen/Qwen3-1.7B,sft_other,1.7B,unknown,10,False,False,0.5407976508140564,0.0313,0.545379745143682,0.0003,,,
sft_mind_small_Qwen3-1.7B_bs1024,sft_other,1.7B,small,3,False,False,3.094088077545166,0.3926,0.6468289760606629,0.0003,,,
sft_mind_ranking_small_Qwen3-1.7B,ranking,1.7B,small,3,False,False,2.316628932952881,1.9015,2.091129408770309,0.0003,,,
sft_mind_ranking_small_Qwen3-1.7B_bs1024_ep8,ranking,1.7B,small,8,False,False,2.8604605197906494,1.3973,2.0064874196052553,0.0003,,,
sft_mind_ranking_small_Qwen3-4B-Instruct-2507_bs1024_ep8,ranking,4B,small,8,False,False,2.5173087120056152,2.4611,2.565739598274231,0.0003,,,
sft_mind_ranking_small_Qwen3-Reranker-0.6B_bs1024_ep3,ranking,Reranker-0.6B,small,3,False,False,2.3211748600006104,1.9407,2.124057802287015,0.0003,,,
sft_mind_ranking_small_Qwen3-Reranker-4B_bs1024_ep8,ranking,4B,small,8,False,False,2.5200676918029785,2.3586,2.4455192623200355,0.0003,,,
sft_mind_ranking_small_Qwen3-1.7B-Base_bs1024_ep3,ranking,1.7B-Base,small,3,False,False,2.286269426345825,1.9042,2.0882716860089983,0.0003,,,
sft_mind_ranking_small_Qwen3-4B-Base_bs1024_ep8,ranking,4B,small,8,False,False,2.5144588947296143,1.789,2.110832845687866,0.0003,,,
sft_mind_ranking_small_Qwen3-4B-Base_bs1024_ep2,ranking,4B,small,2,False,False,2.318168878555298,2.1273,2.220272794946448,1e-05,,,
